id,team_abbr,first_name,last_name,position,archetype,football_iq,speed,carrying,agility,catching,route_running,zone_coverage,man_coverage,strength,tackle,pass_block,run_block,pass_rush,run_defense,throw_power,throw_accuracy,kick_accuracy,kick_power,punt_accuracy,punt_power,is_redshirt,is_redshirting
87715,ACU,Christopher,Burk,ATH,Field General,28,32,10,24,14,5,14,16,33,24,0,1,10,18,24,18,0,3,9,9,0,0
88058,ACU,Daniel,Caples,ATH,Return Specialist,12,44,8,21,10,13,27,16,12,12,0,6,8,9,12,12,9,7,8,7,0,0
88131,ACU,John,Portugal,ATH,Strongside,17,36,9,27,5,0,16,18,48,25,3,0,11,18,8,13,1,1,8,0,0,0
88235,ACU,Marc,Webster,ATH,Wingback,31,49,13,27,24,26,17,17,23,17,16,18,7,13,18,11,13,6,8,10,0,0
87169,ALB,Erik,Vernon,ATH,Field General,31,30,9,22,14,6,14,15,26,23,0,5,9,18,24,23,5,0,1,2,0,0
87230,ALB,Jeffrey,Wiest,ATH,Slotback,28,27,9,17,15,22,13,13,40,8,14,23,1,0,9,5,1,3,5,6,0,0
89095,ALB,William,Stadig,ATH,Bandit,15,25,10,30,6,8,27,30,29,29,7,7,18,15,9,11,3,0,3,5,0,0
85695,APST,Douglas,Lilley,ATH,Triple-Threat,22,54,30,28,31,17,19,17,22,12,19,16,2,8,32,31,8,16,1,2,0,0
86894,APST,Tomas,Diaz,ATH,Strongside,25,35,15,25,8,12,34,30,49,32,11,5,12,20,13,8,11,2,11,4,0,0
88827,APST,Richard,Gomez,ATH,Lineman,29,18,10,29,4,6,3,21,44,29,24,17,25,21,12,13,1,3,4,9,0,0
88147,APSU,Charles,Unger,ATH,Slotback,30,32,10,27,22,31,12,8,54,9,5,28,4,0,8,9,4,8,1,3,0,0
88360,APSU,Joseph,Smith,ATH,Wingback,28,32,9,20,23,24,11,13,19,6,9,13,3,3,12,12,9,6,0,8,0,0
84914,BALL,Stanley,Dirig,ATH,Weakside,31,50,15,40,23,18,37,31,34,31,14,14,27,17,16,24,14,11,9,10,0,0
84338,BAYL,Eduardo,Cruz,ATH,Return Specialist,27,51,36,35,39,22,22,38,23,21,9,14,24,13,28,28,10,14,12,12,0,0
84365,BAYL,Benjamin,Chism,ATH,Bandit,33,52,21,48,29,17,45,50,39,27,10,10,32,30,28,29,9,11,9,10,0,0
85696,BAYL,William,Holliday,ATH,Lineman,19,21,11,22,9,6,8,29,48,25,34,37,26,30,18,13,1,7,3,3,0,0
85947,BAYL,Jon,Reigh,ATH,Bandit,29,34,14,33,27,12,35,41,25,20,6,5,20,20,18,14,4,5,1,3,0,0
85150,BRY,Henry,Sullivan,ATH,Strongside,24,37,16,37,16,0,17,34,47,30,9,7,18,28,13,19,2,6,1,7,0,0
85213,BRY,John,Thomas,ATH,Slotback,19,33,20,22,34,26,14,15,51,15,27,31,6,8,10,19,0,5,9,4,0,0
86926,BUT,Ludmila,Collins,ATH,Strongside,29,31,13,29,6,4,27,28,45,21,2,4,18,28,7,5,4,9,9,6,0,0
87840,BUT,David,Dixon,ATH,Wingback,27,41,10,25,32,21,14,11,20,9,6,8,9,4,7,5,9,9,4,8,0,0
88703,BYU,Abel,Vega,ATH,Wingback,34,32,10,31,34,26,9,11,26,11,13,15,6,11,12,13,10,7,2,6,0,0
89056,BYU,Matthew,Emry,ATH,Strongside,21,33,6,22,16,7,33,26,47,23,7,0,21,25,10,13,9,9,6,7,0,0
85972,CAMP,Michael,Gurrola,ATH,Return Specialist,21,45,14,25,22,15,19,21,17,24,0,4,10,2,12,13,3,2,3,1,0,0
88543,CAMP,Steven,Johnson,ATH,Wingback,28,43,8,21,21,21,8,12,10,13,9,9,2,8,8,13,9,5,8,6,0,0
88620,CAMP,Marc,Bullis,ATH,Field General,27,31,9,20,11,5,24,10,20,25,3,8,10,17,24,19,6,0,8,3,0,0
86290,CARK,Carlos,Acevedo,ATH,Return Specialist,17,43,14,30,15,18,13,26,19,12,1,4,8,4,13,14,2,3,1,3,0,0
85990,CHSO,William,Dillinger,ATH,Strongside,26,35,16,35,23,7,31,25,45,28,8,3,25,22,19,13,2,9,5,1,0,0
86030,CHSO,Kevin,Robertson,ATH,Return Specialist,19,40,19,30,20,16,25,23,21,17,1,4,9,0,8,12,9,8,0,3,0,0
88748,CHSO,William,Schossow,ATH,Field General,37,34,13,28,16,12,15,21,35,24,10,8,14,23,24,28,5,11,13,8,0,0
